SMILES,InChI,Count
O=C1OC[C@@H]2Cc3cc4c(cc3C[C@@H]12)OCO4,KDAVTDIQCUOJNV-VHSXEESVSA-N,1402
c1ncc2c(n1)CCNC2,STXKJIIHKFGUCY-UHFFFAOYSA-N,1401
c1ncc2nn[nH]c2n1,GIIGHSIIKVOWKZ-UHFFFAOYSA-N,1367
c1[nH]nc2c1CCCC2,GDSQTWDUCDSZEY-UHFFFAOYSA-N,1364
C1CC2CCC1C2,UMRZSTCPUPJPOJ-UHFFFAOYSA-N,1360
O=c1ccocc1,CVQUWLDCFXOXEN-UHFFFAOYSA-N,1332
c1ccc2nsnc2c1,PDQRQJVPEFGVRK-UHFFFAOYSA-N,1302
O=S1(=O)N=CNc2ccccc21,BBNGVMNBBLPZIR-UHFFFAOYSA-N,1296
C1=NC=NCN1,RMQOXNXLVICLNK-UHFFFAOYSA-N,1290
O=C1C[C@H]2SCC=CN12,FZEVMBJWXHDLDB-ZCFIWIBFSA-N,1284
c1ccn2nccc2c1,DVUBDHRTVYLIPA-UHFFFAOYSA-N,1283
C1=NCCS1,CBDKQYKMCICBOF-UHFFFAOYSA-N,1274
O=C1CNc2ccccc2N1,HYTIPJFUWHYQON-UHFFFAOYSA-N,1263
c1ccc2nonc2c1,AWBOSXFRPFZLOP-UHFFFAOYSA-N,1261
N=C1NC(=O)CS1,HYMJHROUVPWYNQ-UHFFFAOYSA-N,1250
O=c1ccc1=O,RGBVWCQARBEPPW-UHFFFAOYSA-N,1241
O=C1CCSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,XVZBADQMQMAYKY-UHFFFAOYSA-N,1230
O=c1cncc[nH]1,HUTNOYOBQPAKIA-UHFFFAOYSA-N,1227
O=C1CSC(=O)N1,ZOBPZXTWZATXDG-UHFFFAOYSA-N,1210
c1ncc2c(n1)CCNCC2,GSBPAKVXTRJZPG-UHFFFAOYSA-N,1209
O=C1CCc2ccccc21,QNXSIUBBGPHDDE-UHFFFAOYSA-N,1202
O=C1CC2=CCC[C@H](C2)C[C@@H]2[C@@H]3CO[C@@H]3CC[C@@H]12,YZXBJGIGIIYHGB-FXBFXLCLSA-N,1195
C=C1Oc2ccccc2C1=O,ZRPHXEAPPSSQAL-UHFFFAOYSA-N,1189
C1C[C@@H]2CC[C@H]3OO[C@@]24[C@@H](C1)CCO[C@@H]4O3,WHEUCCQFKWCFHJ-IYKVGLELSA-N,1187
c1ccc2c[n+]3c(cc2c1)-c1cc2c(cc1CC3)OCO2,QFXXWZCOIVFPGL-UHFFFAOYSA-N,1181
O=c1cnc2cncnc2[nH]1,OOIPDYWPGUHUJW-UHFFFAOYSA-N,1178
c1ccc2c(c1)oc1ccccc12,TXCDCPKCNAJMEE-UHFFFAOYSA-N,1177
O=c1ccc2cncnc2[nH]1,WDHAAJIGSXNPFO-UHFFFAOYSA-N,1176
C1=NCCCN1,VBXZSFNZVNDOPB-UHFFFAOYSA-N,1167
c1nn2cnnc2s1,GNSPINPIWPZMKW-UHFFFAOYSA-N,1155
C=C1SC=NC1=O,LLUIHVHWFNSSFO-UHFFFAOYSA-N,1153
O=C1NCCc2ccccc21,YWPMKTWUFVOFPL-UHFFFAOYSA-N,1151
O=c1cc[nH]c2ccnn12,NOSYRIKBTPXMRH-UHFFFAOYSA-N,1150
O=c1c2ccccc2[nH]c2ccccc12,FZEYVTFCMJSGMP-UHFFFAOYSA-N,1134
c1c[nH+]on1,JKFAIQOWCVVSKC-UHFFFAOYSA-O,1122
c1cnc2nccn2c1,INSWZAQOISIYDT-UHFFFAOYSA-N,1116
O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,SNNLGDCYCOKWFN-UHFFFAOYSA-N,1115
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3,XFOHBSLKSOSFBE-UHFFFAOYSA-N,1109
c1cnc2c(c1)CCCC2,YQDGQEKUTLYWJU-UHFFFAOYSA-N,1106
O=C1C=CCCO1,QBDAFARLDLCWAT-UHFFFAOYSA-N,1102
c1ccn2cccc2c1,HOBCFUWDNJPFHB-UHFFFAOYSA-N,1099
C1=CCNC1,JVQIKJMSUIMUDI-UHFFFAOYSA-N,1099
O=c1[nH]cnc2ccsc12,PZMKGWRBZNOIPQ-UHFFFAOYSA-N,1096
c1ccc2cc3ccccc3cc2c1,MWPLVEDNUUSJAV-UHFFFAOYSA-N,1088
O=C1CC(=O)NC(=O)N1,HNYOPLTXPVRDBG-UHFFFAOYSA-N,1075
C=C1C=NC=CC1,JSEPOTNCVHECCZ-UHFFFAOYSA-N,1074
C1CCCCCCC1,WJTCGQSWYFHTAC-UHFFFAOYSA-N,1052
C1=CN=CNC1,OKGNMRKOGWTADH-UHFFFAOYSA-N,1046
